id;rentrak;cinema;salas;circuito;cidade;estado;regiao;endereco
109;1059878;CineArt Cafe - Resende 4;4;CARC;Resende;RJ;SAO PAULO;Dona Gertrudes 202
110;1005404;CineArt Cafe - SJ Rio Pardo 1;1;CARC;São José do Rio Pardo;SP;SAO PAULO;Praça Maastricht 100
111;1005407;CineArt Cafe - Pinhal 1;1;CARC;Espirito Santo do Pinhal;SP;RIO DE JANEIRO;Av Dorival Marcondes Godoy, 500
112;1029578;CineArt Cafe - Itapira 2;2;CARC;Itapira;SP;PARÁ;Travessa Treze de Maio, S/n
113;1030232;CineArt Cafe - Araras 3;3;CARC;Araras;SP;MINAS GERAIS;Av Doutor Jerson Dias 401
114;1047778;CineArt Cafe S.S. Boa Vista 2;2;CARC;São João da Boa Vista;SP;GOIAS;Av Presidente Vargas 1740 
115;1059084;CineArt Cafe - Bragança 3;3;CARC;Bragança Paulista;SP;GOIAS;Avenida Ino Rezende, Quadra 104 Lote 1
116;1078378;Circuito Cinemas Ponta Porã 4;4;CCIN;Ponta Porã;MS;SAO PAULO;Av. Juscelino Kubitschek de Oliveira 429
117;997370;Circuito Cinemas Parauapebas 4;4;CCIN;Parauapebas;PA;PARÁ;PA-275 - PA, Brazil
118;1074110;Art Movie CKS 3;3;CCIN;Parauapebas;PA;SAO PAULO;Rua Doutor Ademar de Barros, 345
119;65029;Circuito Cinemas Guarulhos 6;6;CCIN;Guarulhos;SP;SAO PAULO;Rod. Sarg Luciano Covolan, 1055
120;1043995;Circuito Cinema Porto 3;3;CCIN;Porto Feliz;SP;SAO PAULO;Rva Deputado Laercio Corte 4500
121;1056210;Circuito Cinema Penapolis 4;4;CCIN;Penapolis;SP;PARÁ;Rod. Municipal Faruk Salmen, km 07, 510
122;1062403;Circuito Cinemas Limeira 4;4;CCIN;Limeira;SP;MATO GROSSO DO SUL;Av. Marechal Floriano Peixoto 2580
123;63849;Novo Duocine Santa Cruz 2;2;CEFC;Juiz de Fora;MG;MINAS GERAIS;Rua Jarbas Lery Santos, 1685
124;64694;Novo Cine Caxambu 1;1;CEFC;Caxambu;MG;MINAS GERAIS;Pc 16 Setembro, 34 
125;65642;Centerplex Patio Maceio 5;5;CEPX;Maceió;AL;RONDONIA;R. Joaquim Nabuco 1855, Centro
126;1069484;Centerplex Grande Circular 5;5;CEPX;Manaus;AM;CEARA;Av. Sen Carlos Jereissati, 100
127;1073426;Centerplex Vitória da Conquista 6;6;CEPX;Vitoria da Conquista;BA;CEARA;Av Washington Soares, 4335
128;64878;Centerplex Maracanau 4;4;CEPX;Maracanau;CE;SAO PAULO;Rua Jose Alvim 357
129;65604;Centerplex Via Sul Shop. 6;6;CEPX;Fortaleza;CE;SAO PAULO;Pca Dr Cesario Motta 367
130;1061357;Centerplex Messejana 5;5;CEPX;Fortaleza;CE;SAO PAULO;Rua Catao 72
131;1048805;Centerplex SJ de Ribamar 6;6;CEPX;São José de Ribamar;MA;SAO PAULO;Av Armando Salles De Oliveira 1130
132;64894;Centerplex Poços de Caldas 4;4;CEPX;Poços de Caldas;MG;MINAS GERAIS;Av  Silvio Monteiro Dos Santos
133;1067898;Centerplex Mag Shopping 4;4;CEPX;João Pessoa;PB;ALAGOAS   ;Av. Menino Marcelo 3800
134;997754;Centerplex Caruaru 4;4;CEPX;Caruaru;PE;SAO PAULO;Via Conselheiro Antônio Prado, 1400
135;1078171;Centerplex Carpina 3;3;CEPX;Carpina;PE;PERNANBUCO;Rua Adjar Silva Casé, 800 - Indianopolis
136;64443;Veneza 1;1;CEPX;Porto Velho;RO;SAO PAULO;Av. José Herculano 1086
137;64448;Centerplex Atibaia 2;2;CEPX;Atibaia;SP;SAO PAULO;Alfredo A de Oliveira, 2077
138;64453;Vera Cruz 2 2;2;CEPX;Capivari;SP;SAO PAULO;Carlos Kuntz Bush 800
139;64484;Centerplex Lapa 3;3;CEPX;Sao Paulo;SP;MARANHÃO;Estrada de São José do Ribamar, 1000
140;64560;Centerplex Suzano 5;5;CEPX;Suzano;SP;SAO PAULO;Rua 19 de Setembro, 187
141;65723;Centerplex North Shopping Barretos 3;3;CEPX;Barretos;SP;CEARA;Av Frei Cirilo 3840
142;1003713;Centerplex Serramar 4;4;CEPX;Caraguatatuba;SP;SAO PAULO;Rua Engenheiro Rene Benedito Da Silva
143;1010278;Centerplex Cidade Norte 3;3;CEPX;São José do Rio Preto;SP;PARAIBA;Av Gobernador Flavio Ribeiro Coutinho 115
144;1010853;Centerplex Limeira 5;5;CEPX;Limeira;SP;AMAZONAS;Av Autaz Mirim 6250
145;1061352;Centerplex Guararema 1;1;CEPX;Guararema;SP;BAHIA;Av Olivia Flores, 2500
146;1067238;Centerplex Itapevi Center 3;3;CEPX;Itapevi;SP;SAO PAULO;Av. Afonso Monteiro da Cruz 
147;1076490;Centerplex Diadema 4;4;CEPX;Diadema;SP;PERNAMBUCO;Rod Pe 41 - Km 02 Shopping Carpina
148;1032886;Cineflix Shopping JK Brasília 6;6;CFLX;Brasilia;DF;PARANA;Av Sao Paulo, 120 Centro Zona 1
149;1045620;Cineflix Rio Verde 5;5;CFLX;Rio Verde;GO;RIO GRANDE DO SUL;Av. Cristovão Colombo 545, Floresta
150;1063494;Cineflix Valparaiso 6;6;CFLX;Valparaíso;GO;SAO PAULO;Rua Francisco Franco de Godoy Bueno  801
151;1066972;Cineflix Aparecida de Goiânia 5;5;CFLX;Aparecida de Goiânia;GO;RIO GRANDE DO SUL;Av. Ferreira Viana, 1526
152;1056331;Cineflix Várzea Grande 6;6;CFLX;Várzea Grande;MT;DISTRITO FEDERAL;QNM 34, Area especial 1 - Taguatinga
153;1003918;Cineflix Maringa Park 5;5;CFLX;Maringa;PR;SAO PAULO;Av Marginal 200
154;1059477;Cineflix Londrina 5;5;CFLX;Londrina;PR;SAO PAULO;Marechal Rondon s/n Km 534,5
155;1077624;Cineflix Shopping Cidade Maringá 4;4;CFLX;Maringa;PR;GOIAS;Rua O, 1044
156;1003920;Cineflix Total Porto Alegre 5;5;CFLX;Porto Alegre;RS;MATO GROSSO;Presidente Arthur Bernades s/n
157;1032067;Cineflix Shopping Pelotas 5;5;CFLX;Pelotas;RS;SAO PAULO;Rodovia Raposo Tavares, s/n. Km22,5
158;1082820;Cineflix Rio Grande 5;5;CFLX;Rio Grande;RS;PARANA;Rua Ayrton Senna da Silva 400
159;1010705;Cineflix Cinemas 5;5;CFLX;Mogi Guacu;SP;SAO PAULO;Av. Raimundo Pereira de Magalhães 11001
160;1042223;Cineflix Botucatu 5;5;CFLX;Botucatu;SP;GOIAS;Rodovia: BR 40 - KM 12 - S/N - Quadra 01
161;1045578;Cineflix Cinemas Araçatuba 5;5;CFLX;Araçatuba;SP;GOIAS;Av Independência 285
162;1056654;Cineflix Cotia 6;6;CFLX;Cotia;SP;PARANA;Av Tuiuti, 710
163;1060384;Cineflix Cantareira 5;5;CFLX;Sao Paulo;SP;SAO PAULO;Avenida Rebouças 3400
164;1081601;Cineflix Park City Sumaré 5;5;CFLX;Sumaré;SP;SAO PAULO;Euclides da Cunha, 21
165;1082585;Cineflix Miramar Santos 4;4;CFLX;Santos;SP;RIO GRANDE DO SUL;Euclides da Cunha, 21
166;64334;Globo Santa Rosa 1;1;CGLOBO;Santa Rosa;RS;RIO GRANDE DO SUL;Rua Santos Dumont, 937
167;64185;Globo Três Passos;1;CGLOBO;Três Passos;RS;RIO GRANDE DO SUL;Av  Julio De Castilhos 346
168;1044220;Globo Palmeira 1;1;CGLOBO;Palmeira das Missões;RS;RIO GRANDE DO SUL;Rua General Osorio 850
169;1080215;Globo Frederico 1;1;CGLOBO;Frederico Westphalen;RS;RIO GRANDE DO SUL;Rua Miguel Couto, 202
170;63894;Apucarana G7 2;2;CIXV;Apucarana;PR;PARANA;Pc Int Manoel Ribas, 135
171;1072210;Cine XV 4;4;CIXV;Guarapuava;PR;PARANA;Av. Guarapuava 1400
172;1030113;Cinemagic Vitória Norte Sul 4;4;CMGC;Vitória;ES;SAO PAULO;Rua Campos Sales, 63
173;64651;Cineplex Pampulha Mall 6;6;CMGC;Belo Horizonte;MG;MINAS GERAIS;Av  Antonio Carlos, 8100- Pampulha
174;65509;Cineritz Holiday 3;3;CMGC;Rio das Ostras;RJ;RIO DE JANEIRO;Rodovia Amaral Peixoto, 4961
175;65699;Cinemagic Araruama 2;2;CMGC;Araruama;RJ;RIO DE JANEIRO;Av John Kennedy 292.Loja 218
176;1082647;Cinemagic Bacaxa 2;2;CMGC;Saquarema;RJ;ESPIRITO SANTO;Av Jose Maria Vivacqua Santos 400
177;64401;Cine Cavaliere Orlandi 2;2;CMGC;Socorro;SP;RIO DE JANEIRO;Rod. Amaral Peixoto 51
178;64711;Cinemaxx Gloria 1;1;CMXX;Itaperuna;RJ;RIO DE JANEIRO;Rua Amadeu Tinoco Lacerda 6
179;63963;Cinemaxx Imperial 1;1;CMXX;Paracambi;RJ;RIO DE JANEIRO;Rua Dominique Lefel 30
180;63972;Top Cine Hipershop Abc 2;2;CMXX;Petropolis;RJ;RIO DE JANEIRO;Rua Teresa 1415
181;64070;Cinemaxx Casario shop. 2;2;CMXX;Vassouras;RJ;RIO DE JANEIRO;Rua Barão de Vassouras, 19
182;64789;Cinemaxx Mercado Estação 3;3;CMXX;Petropolis;RJ;RIO DE JANEIRO;Rua Paulo Barbosa N° 310 1er Andar
183;1064171;Cinemaxx Unapark Shopping Unamar 2;2;CMXX;Cabo Frio;RJ;RIO DE JANEIRO;Av Independencia Lote 16 quadra 15
184;63834;Cineart Cidade 8;8;CNAR;Belo Horizonte;MG;MINAS GERAIS;Rua Sao Paulo, 957
185;63840;Cineart Del Rey 7;7;CNAR;Belo Horizonte;MG;MINAS GERAIS;Av  Presidente Carloz Luz, 3001
186;64720;Via Shopping 5;5;CNAR;Belo Horizonte;MG;MINAS GERAIS;Av  Afonso Vaz De Melo, 640
187;64761;Itau Power 6;6;CNAR;Contagem;MG;MINAS GERAIS;Av  Gen  David Sarnoff, 5 160/251 Indust
188;65710;Multiplex Boulevard Shopping 6;6;CNAR;Belo Horizonte;MG;MINAS GERAIS;Av. Dos Andradas 3000.3 andar
189;1003747;Multiplex Minas 6;6;CNAR;Belo Horizonte;MG;MINAS GERAIS;Av. Cristinano Machado 4000,loja 8 2 and
190;1009891;Cineart Paragem 5;5;CNAR;Belo Horizonte;MG;MINAS GERAIS;Av. Professor Mario Werneck 1360
191;1027020;Cineart Ponteio 4;4;CNAR;Belo Horizonte;MG;MINAS GERAIS;Rodovia 356
192;1031135;Cineart Serra Sul 4;4;CNAR;Pouso Alegre;MG;MINAS GERAIS;Kubitschek, BR 459, KM 107
193;1033389;Cineart Contagem 8;8;CNAR;Contagem;MG;MINAS GERAIS;Av Severino Balesteros Rodrigues 850
194;1047682;Monte Carmo 7;7;CNAR;Betim;MG;MINAS GERAIS;Av Juiz Marco Tulio Isaac 1119
195;1078228;Cineart Barbacena 4;4;CNAR;Barbacena;MG;MINAS GERAIS;Av Helena Aguiar de Figueiredo 131 
196;64598;708 Studio Festival Mall 8;8;CNMK;Manaus;AM;AMAZONAS;Av. Rodrigo Otavio, 555
